Metin,Durum,temiz_yorum,tahmin,dogru_mu
kalitesiz bir ürün amortisoru zor çalışıyor ve koltuk döşemesinde ufak yırtık vardı. paketleme yaparken ürün tamamiyle sargılanmamış ve oturakla sırtlık arasındaki plastik aksam ezilmişti. kargocuda maske takmadan kapı kapı dağıtım yapıyor. kötü bir alışveriş deneyimi.,0,kalitesiz bir ürün amortisoru zor çalışıyor koltuk döşemesinde ufak yırtık vardı paketleme yaparken ürün tamamiyle sargılanmamış oturakla sırtlık arasındaki plastik aksam ezilmişti kargocuda maske takmadan kapı kapı dağıtım yapıyor kötü bir alışveriş deneyimi,0,True
urunum bana ulasmadan ortadan kayboldu ben sormazsam ne oldu diye kimsenin arayip.soracagi yok kesinlikle almayin derim,0,urunum bana ulasmadan ortadan kayboldu ben sormazsam oldu kimsenin arayipsoracagi yok kesinlikle almayin derim,0,True
"Ürünün fiyatına aldanıp satın aldım fakat tekerlekleri çok adi. Kesinlikle tutmuyor. Daha kaliteli ürünlere bakmanızı tavsiye ederim. Ucuzluk demek, adilik demek ne yazık ki...",0,ürünün fiyatına aldanıp satın aldım fakat tekerlekleri adi kesinlikle tutmuyor kaliteli ürünlere bakmanızı tavsiye ederim ucuzluk demek adilik demek yazık,0,True
Ürün tamamen kırılmış tek bi paket bile yapılmamış. Parçalanmış bir şekilde geldi. Sanırım başkasının iadesiydi bize gelmiş,0,ürün tamamen kırılmış tek bi paket bile yapılmamış parçalanmış bir şekilde geldi sanırım başkasının iadesiydi bize gelmiş,0,True
İyi fiyat iyi kalite??,1,iyi fiyat iyi kalite,1,True
Güzel bir ürün fiyata göre gayet iyi,1,güzel bir ürün fiyata göre gayet iyi,1,True
hiç güvenli hissetşrmiyor çok küçük sadece küçük yaş grubuna uygun kurulum kolay,0,güvenli hissetşrmiyor küçük sadece küçük yaş grubuna uygun kurulum kolay,1,False
Beklentımı çok karşılamadı. Ama şimdilik kullanacağım.,0,beklentımı karşılamadı şimdilik kullanacağım,0,True
"2 tane aldım paketleme kötüydü, bir tanesinin de mekanizma kapağı çıkmadı",0,2 tane aldım paketleme kötüydü bir tanesinin mekanizma kapağı çıkmadı,0,True
fazla kaliteli bi urun beklemeyin. çünkü degil. ama is görür. ayrica kargo çok gec geldi.,0,fazla kaliteli bi urun beklemeyin degil is görür ayrica kargo gec geldi,0,True
Aşırı gıcırdıyo kalite yokk,0,aşırı gıcırdıyo kalite yokk,0,True
kızım çok sevdi oldukça da sağlam bir ürün,1,kızım sevdi oldukça sağlam bir ürün,1,True
ürün güzel geldi teşekkürler,1,ürün güzel geldi teşekkürler,1,True
hic iyi degil resmen kollari oynuyor yaslansam kirilir,0,hic iyi degil resmen kollari oynuyor yaslansam kirilir,0,True
Ürünün fiyatı uygun ama uzun soluklu kullanılabilecek ürün değil arkası sallanmaya başladı bile,0,ürünün fiyatı uygun uzun soluklu kullanılabilecek ürün değil arkası sallanmaya başladı bile,0,True
urun yirtilmis sekilde.elimize ulasti paketleme cok kotuydu,0,urun yirtilmis sekildeelimize ulasti paketleme cok kotuydu,1,False
fiyata göre uygun,1,fiyata göre uygun,1,True
Fiyatına göre iyi,1,fiyatına göre iyi,1,True
beklediğim gibi degildi,0,beklediğim degildi,0,True
Bu fiyata iyi ürün,1,fiyata iyi ürün,1,True
Güzellllll,1,güzellllll,1,True
güzel kullanışlı,1,güzel kullanışlı,1,True
Fiyatına göre çok kaliteli. Kızım için aldım. Rengi de çok güzel ve canlı,1,fiyatına göre kaliteli kızım aldım rengi güzel canlı,1,True
Fiyatına göre iyi,1,fiyatına göre iyi,1,True
berbat arkası resmen plastik beş para etmez kurulumu yapmasaydık geri gönderecektim,0,berbat arkası resmen plastik beş para etmez kurulumu yapmasaydık geri gönderecektim,0,True
Uygun fiyat diye aldık ama beş para etmez vidaları sürekli düşüyor sallanıyor sandalye resmen??,0,uygun fiyat aldık beş para etmez vidaları sürekli düşüyor sallanıyor sandalye resmen,0,True
Daha bir hafta kullanmadan alt kısmı kırıldı çok kalitesiz pişman oldum param çöp oldu,0,bir hafta kullanmadan alt kısmı kırıldı kalitesiz pişman oldum param çöp oldu,0,True
"Ürün deri kısmı çizik ve delik geldi, ayrıca koltuk asansör kolu eksik geldi görmeden aşmayın derim",0,ürün deri kısmı çizik delik geldi ayrıca koltuk asansör kolu eksik geldi görmeden aşmayın derim,0,True
?r?n kalite olarak iyi değil tavsiye etmem fiyatına göre kaliteli çıkmadı,0,rn kalite olarak iyi değil tavsiye etmem fiyatına göre kaliteli çıkmadı,0,True
urun problemli geldi yanları yaralanmis olarak geldi iade edeceğiz çok kotu,0,urun problemli geldi yanları yaralanmis olarak geldi iade edeceğiz kotu,0,True
Montajı kolay değil. Döşemenin kalitesi iyi değil. Montajı açıklayacak kullanım kılavuzu yoktur.,0,montajı kolay değil döşemenin kalitesi iyi değil montajı açıklayacak kullanım kılavuzu yoktur,0,True
Fiyatına göre harika,1,fiyatına göre harika,1,True
elinde kalacak gibi malesef resimdeki gibi değil,0,elinde kalacak malesef resimdeki değil,0,True
Ürün kırık geldi ve derisi de yırtık iade ettim,0,ürün kırık geldi derisi yırtık iade ettim,0,True
Zor montajını yaptık ucuz duruyor,0,zor montajını yaptık ucuz duruyor,0,True
Hiç kaliteli değil normallere göre daha küçük,0,kaliteli değil normallere göre küçük,0,True
çok basit umdugumu bulamadım,0,basit umdugumu bulamadım,0,True
İyi değildi,0,iyi değildi,0,True
Paketleme çok kötü koliye bile koymadan naylonlamışlar. Paketleme kötü olduğu için sandalyenin sırt kısmı kırık geldi. Kalitesi ise kötü tavsiye etmiyorum,0,paketleme kötü koliye bile koymadan naylonlamışlar paketleme kötü olduğu sandalyenin sırt kısmı kırık geldi kalitesi kötü tavsiye etmiyorum,0,True
fiyatına gore uygun bir ürün.,1,fiyatına gore uygun bir ürün,1,True
Rengine ve kalitesine bayıldım,1,rengine kalitesine bayıldım,1,True
çok begendik tam odamıza uygun,1,begendik tam odamıza uygun,1,True
Ürün güzel ama kargo çok geç geldi...,1,ürün güzel kargo geç geldi,1,True
Kalite olarak hiç tavsiye etmiyorum,0,kalite olarak tavsiye etmiyorum,0,True
Resimdeki gibi geldi yalnız konforlu değil,0,resimdeki geldi yalnız konforlu değil,0,True
Çok rahatsız,0,rahatsız,0,True
Çok güzel ve çok kaliteli,1,güzel kaliteli,1,True
Rengi çok güzel ve kaliteli,1,rengi güzel kaliteli,1,True
şık bir ürün kolay kurulum kaliteli duruyor,1,şık bir ürün kolay kurulum kaliteli duruyor,1,True
güzel kullanışlı kaliteli,1,güzel kullanışlı kaliteli,1,True
Fiyatına göre güzel,1,fiyatına göre güzel,1,True
Ürün kargoda hasar görmüş.!!,0,ürün kargoda hasar görmüş,0,True
Ürünün bir parçası eksik geldi,0,ürünün bir parçası eksik geldi,0,True
Ürünün hızlı geri dönüşü için teşekkürler,1,ürünün hızlı geri dönüşü teşekkürler,1,True
Ürün çok kötü paketlenmiş. Kırık geldi,0,ürün kötü paketlenmiş kırık geldi,0,True
Kullanılamayacak kadar kötü,0,kullanılamayacak kadar kötü,0,True
malını beğenmedim.,0,malını beğenmedim,0,True
plastik kalitesi belki çok iyi değil ama bu fiyata bence gayet başarılı. Yanlız rengi çok tatlı ve bahsedildiği kadarda çok küçük değil.,0,plastik kalitesi iyi değil fiyata bence gayet başarılı yanlız rengi tatlı bahsedildiği kadarda küçük değil,1,False
Kızım bayıldı rengine ??,1,kızım bayıldı rengine,1,True
çok iyi beğendim,1,iyi beğendim,1,True
Kaliteli güzel,1,kaliteli güzel,1,True
ürün defolu geldi,0,ürün defolu geldi,0,True
urun çok kötü.,0,urun kötü,0,True
berbat cokuzgunum,0,berbat cokuzgunum,0,True
resimde toz pembe rengi var bize daha koyu rengi geldi fuşya rengi geldi ama ürün güzel fiyatına göre iyi,0,resimde toz pembe rengi var bize koyu rengi geldi fuşya rengi geldi ürün güzel fiyatına göre iyi,0,True
Sandalyesi çok sert kalite olarak düşük,0,sandalyesi sert kalite olarak düşük,0,True
kaliteli bir ürün DEĞİL!.,0,kaliteli bir ürün değil,0,True
Gayet rahat.,1,gayet rahat,1,True
Pek kaliteli,1,pek kaliteli,0,False
Zamanında teslimat için teşekkürler ürün resimde görüldüğü gibi kurulumu kolay kullanışlı,1,zamanında teslimat teşekkürler ürün resimde görüldüğü kurulumu kolay kullanışlı,1,True
kız kardeşime aldım hala sıkıntısız kullanıyor ama içinden kurulum klavuuz çıkmıyor bilginize ...,1,kız kardeşime aldım hala sıkıntısız kullanıyor içinden kurulum klavuuz çıkmıyor bilginize,1,True
çok güzel çocuklar memnun,1,güzel çocuklar memnun,1,True
Çok güzel ve rahat kesinlikle tercih edebilirsiniz,1,güzel rahat kesinlikle tercih edebilirsiniz,1,True
cok guzel cocuklara uygun,1,cok guzel cocuklara uygun,1,True
Çok tatlı bir çocuk sandalyesi ve çok rahat,1,tatlı bir çocuk sandalyesi rahat,1,True
ürün güzel fakat açtığımda yaslanma yerinin arkasındaki plastik kısmının 3-4 yerinde çatlak ve kırık vardı. Nakliye kötü,0,ürün güzel fakat açtığımda yaslanma yerinin arkasındaki plastik kısmının 34 yerinde çatlak kırık vardı nakliye kötü,0,True
Fiyatına göre değerlendirecek olursam beklenen ürün yalnız oturma şekli çok sert,0,fiyatına göre değerlendirecek olursam beklenen ürün yalnız oturma şekli sert,0,True
teşekkürler trend yol ürün çok güzel,1,teşekkürler trend yol ürün güzel,1,True
Trendyolla asla calismam bir daha. Minder takimi farkli model renk geliyor. Bu sandalye teshirden sökülmüş alt taban tornavida cizigi ve yipranmis.,0,trendyolla asla calismam bir minder takimi farkli model renk geliyor sandalye teshirden sökülmüş alt taban tornavida cizigi yipranmis,0,True
çok iyi değil cokta kötü değil.ama çocuk için ideal,0,iyi değil cokta kötü değilama çocuk ideal,0,True
ürünün fiyatı da kaliteside gayet güzeldi,1,ürünün fiyatı kaliteside gayet güzeldi,1,True
muhteşem ..........,1,muhteşem,1,True
Gayet güzel,1,gayet güzel,1,True
urun bugün geldi çok kalite değil üstelik oturma bölümündeki deride 6 santim yirtik vardi??????,0,urun bugün geldi kalite değil üstelik oturma bölümündeki deride 6 santim yirtik vardi,0,True
Yanlış renk gönderildi..lütfen daha dikkatli olmanizı ruca ediyorum.iyi akşamlar..,0,yanlış renk gönderildilütfen dikkatli olmanizı ruca ediyorumiyi akşamlar,0,True
Fiyatına göre iyi,1,fiyatına göre iyi,1,True
Ürün pek kaliteli değil.İdare eder.,0,ürün pek kaliteli değilidare eder,0,True
Harika................,1,harika,1,True
Çok rahattt,1,rahattt,0,False
çok beğendim,1,beğendim,1,True
cok begendim,1,cok begendim,1,True
cok gzuel gorunuyo,1,cok gzuel gorunuyo,1,True
Çok kullanıslı,1,kullanıslı,1,True
Aldım güzeldi..,1,aldım güzeldi,1,True
urun guzel,1,urun guzel,1,True
çok kaliteli,1,kaliteli,1,True
cok kullanisli.teşekkürler,1,cok kullanisliteşekkürler,1,True
urun actigimda kol dayama parcasi kirikti.bakalim firmanin cvp bekliyom.cok basit .biraz daha ekleyip iyi birsey alinabilir.,0,urun actigimda kol dayama parcasi kiriktibakalim firmanin cvp bekliyomcok basit biraz ekleyip iyi birsey alinabilir,0,True
Firma Ürünü hızlıca teslim etti.sandalyenin kullanımı rahat,0,firma ürünü hızlıca teslim ettisandalyenin kullanımı rahat,1,False
Ürün on para etmez geldiği gün arkasırt dayaması kırıldı malzeme zayıf kargolama ve gönderme yaramaz sipariş verdim 20 günde anca geldi hiç tavsiye etmem. Uzak durum,0,ürün on para etmez geldiği gün arkasırt dayaması kırıldı malzeme zayıf kargolama gönderme yaramaz sipariş verdim 20 günde anca geldi tavsiye etmem uzak durum,0,True
fiyatina gore bir urun ama uzun sure oturdugun zaman sıkınti oluyor cunku sungeri coook ince,0,fiyatina gore bir urun uzun sure oturdugun zaman sıkınti oluyor cunku sungeri coook ince,0,True
ürünü severek kullanıyorum fakat hızlı bir şekilde yaslanma kısmı arkaya doğru sallanmaya başladı ama hala kullanıyorum ????,0,ürünü severek kullanıyorum fakat hızlı bir şekilde yaslanma kısmı arkaya doğru sallanmaya başladı hala kullanıyorum,0,True
rahat değil kızım renginden dolayı iade etmemi istemedi. suni deri.,0,rahat değil kızım renginden dolayı iade etmemi istemedi suni deri,0,True
Kumaş olmaması biraz hayal kırıklığı yaşatsa da kızım çok beğendi... Siparişten tam 16 gün sonra geldi...,0,kumaş olmaması biraz hayal kırıklığı yaşatsa kızım beğendi siparişten tam 16 gün sonra geldi,0,True
kurulumu kolay. son derece de hizli geldi. kumas degil deri onu göz önünde bulundurun.. kalitesi is görüyor ancak fazla da beklentiye girmeyin,0,kurulumu kolay son derece hizli geldi kumas degil deri onu göz önünde bulundurun kalitesi is görüyor ancak fazla beklentiye girmeyin,0,True
Fiyatı ile karşılaştırıldığında gayet güzel bir ürün.. Kurulumu da çok basit,1,fiyatı karşılaştırıldığında gayet güzel bir ürün kurulumu basit,1,True
cok begendim iyice sarip sarmalamis zarar gorwmeyecek sekilde paketlemislerdi tesekkurler,1,cok begendim iyice sarip sarmalamis zarar gorwmeyecek sekilde paketlemislerdi tesekkurler,1,True
"Rengi güzel deri gibi bir yüzeyi var. Sırt kısmı ile oturak kısmı arası çok ayrık, sırt kısmı dimdik. İnip kalkması güzel tekerlekleri sağlam kargolama da iyiydi.",1,rengi güzel deri bir yüzeyi var sırt kısmı oturak kısmı arası ayrık sırt kısmı dimdik inip kalkması güzel tekerlekleri sağlam kargolama iyiydi,0,False
hızlı teslimat görüldüğü gibi geldi.,1,hızlı teslimat görüldüğü geldi,1,True
Gayet sağlam ve kullanışlı birebir aynısı geldi,1,gayet sağlam kullanışlı birebir aynısı geldi,1,True
Hızlı ve eksiksiz teslimat için teşekkür ederim.,1,hızlı eksiksiz teslimat teşekkür ederim,1,True
rahat değil kızım renginden dolayı iade etmemi istemedi. suni deri.,0,rahat değil kızım renginden dolayı iade etmemi istemedi suni deri,0,True
İkincisini aldım. Kurulum kolay ve kullanışlı. Tavsiye ediyorum.,1,ikincisini aldım kurulum kolay kullanışlı tavsiye ediyorum,1,True
Firma Ürünü hızlıca teslim etti.sandalyenin kullanımı rahat,1,firma ürünü hızlıca teslim ettisandalyenin kullanımı rahat,1,True
ürün güzel ancak bazı eksiklikleri var. Kol dayama kısımlarından bir tarafının alt vidası eksik geldi.Sırt dayama kısmı ise pembe deri bölümü dış plastik kısma tam oturmadığından alt kısmında boşluk oluşmuş.,0,ürün güzel ancak eksiklikleri var kol dayama kısımlarından bir tarafının alt vidası eksik geldisırt dayama kısmı pembe deri bölümü dış plastik kısma tam oturmadığından alt kısmında boşluk oluşmuş,0,True
Fiyatı iyi. Fakat sünger bölümü yok denecek kadar az. Kızım hafif olduğu için sorun olmadı bize. Fiyatına göre uygun. Hızlı geldi.,0,fiyatı iyi fakat sünger bölümü yok denecek kadar kızım hafif olduğu sorun olmadı bize fiyatına göre uygun hızlı geldi,0,True
Hızlı ve eksiksiz teslimat için teşekkür ederim.,1,hızlı eksiksiz teslimat teşekkür ederim,1,True
Ürün on para etmez geldiği gün arkasırt dayaması kırıldı malzeme zayıf kargolama ve gönderme yaramaz sipariş verdim 20 günde anca geldi hiç tavsiye etmem. Uzak durum,0,ürün on para etmez geldiği gün arkasırt dayaması kırıldı malzeme zayıf kargolama gönderme yaramaz sipariş verdim 20 günde anca geldi tavsiye etmem uzak durum,0,True
"Rengi güzel deri gibi bir yüzeyi var. Sırt kısmı ile oturak kısmı arası çok ayrık, sırt kısmı dimdik. İnip kalkması güzel tekerlekleri sağlam kargolama da iyiydi.",1,rengi güzel deri bir yüzeyi var sırt kısmı oturak kısmı arası ayrık sırt kısmı dimdik inip kalkması güzel tekerlekleri sağlam kargolama iyiydi,0,False
Ürün biraz geç geldi ve açtığımda tek kolu paramparça olarak gelmişti o yüzden iade etmek zorunda kaldım,0,ürün biraz geç geldi açtığımda tek kolu paramparça olarak gelmişti yüzden iade etmek zorunda kaldım,0,True
Fiyatı ve kalitesi iyi.,1,fiyatı kalitesi iyi,1,True
7yaşındaki kızım için aldık bizde kullanıyoruz.Ürün göründüğü gibi gayet güzel kurulumu kolay teşekkürler,1,7yaşındaki kızım aldık bizde kullanıyoruzürün göründüğü gayet güzel kurulumu kolay teşekkürler,1,True
mukembel çokguzel,1,mukembel çokguzel,1,True
"hizli kargo zamaninda teslimat, fiyata gore gayet guzel",1,hizli kargo zamaninda teslimat fiyata gore gayet guzel,1,True
çok kalitesiz. heryeri sallanıyor vidaları hep düşünüyor. suntası ufalanıyor. satıcı sorulara cevap vermiyor. Remaks tam bir hayal kırıklığı.,0,kalitesiz heryeri sallanıyor vidaları düşünüyor suntası ufalanıyor satıcı sorulara cevap vermiyor remaks tam bir hayal kırıklığı,0,True
Fiyatına göre iyi,1,fiyatına göre iyi,1,True
hic begenmedik tavsiye etmem. 15 gun uzerine geldi urun. derisinde darbesi deligi mevcuttu resimdeki acik renk ozellikle tercih ettigim halde kopkoyu bir pembeyle karsilastik. kurulumu paketlemesi guzeldi lakin hasarli urunu o kadar ozenli paketlemenin hic bir mantigi yoktu !!! saticiya defalarca urunu beklerken msj attigimda hic birine cvpta bulamadim ! asla aldigi parayi hak etmiyor !!!,0,hic begenmedik tavsiye etmem 15 gun uzerine geldi urun derisinde darbesi deligi mevcuttu resimdeki acik renk ozellikle tercih ettigim halde kopkoyu bir pembeyle karsilastik kurulumu paketlemesi guzeldi lakin hasarli urunu kadar ozenli paketlemenin hic bir mantigi yoktu saticiya defalarca urunu beklerken msj attigimda hic birine cvpta bulamadim asla aldigi parayi hak etmiyor,0,True
"İlkokula başlayan kızım için aldım. Ortaokula kadar kullanılabilir ancak. Çok küçük, boyutları yazıyor zaten bilerek aldım. Yan tarafında küçük bir yırtık geldi ama iade etmedim.",0,ilkokula başlayan kızım aldım ortaokula kadar kullanılabilir ancak küçük boyutları yazıyor zaten bilerek aldım yan tarafında küçük bir yırtık geldi iade etmedim,0,True
kizim 6 yasinda gayet rahat kullaniyor,1,kizim 6 yasinda gayet rahat kullaniyor,1,True
idare eder çok da iyi sayılmaz kolları hemen bozuldu kızıma almistim,0,idare eder iyi sayılmaz kolları hemen bozuldu kızıma almistim,0,True
koltugun ustunde bir tarafinda kopukluk var,0,koltugun ustunde bir tarafinda kopukluk var,0,True
Başarılı bir çalışma,1,başarılı bir çalışma,1,True
ürünü kızım için aldım çok beğendi kurulumu basit. kesinlikle iş görür bir çalışma sandalyesi.çocuklar için gayet uygun olduğunu düşünüyorum. paketlenmesi özenliydi.,1,ürünü kızım aldım beğendi kurulumu basit kesinlikle iş görür bir çalışma sandalyesiçocuklar gayet uygun olduğunu düşünüyorum paketlenmesi özenliydi,1,True
Çok güzel ürün çok güzel paketli geldi teşekkürler,1,güzel ürün güzel paketli geldi teşekkürler,1,True
Oğluma aldım şirin büyük olmayan bi sandalye. Gayet kullanışlı tornovidayla 10 dk kurulum yapılıyor.,1,oğluma aldım şirin büyük olmayan bi sandalye gayet kullanışlı tornovidayla 10 dk kurulum yapılıyor,1,True
6 yaşındaki çocuğum için aldım. Boyutu ve kullanışı çocuklar için çok ideal,1,6 yaşındaki çocuğum aldım boyutu kullanışı çocuklar ideal,1,True
kurulumu çok kolay biraz küçük çocuklar için ideal,1,kurulumu kolay biraz küçük çocuklar ideal,1,True
uzun süredir kullanıyoruz herhangi bir sorun çıkmadı. Rengi de istediğimiz gibi beyaz geldi. Uygun fiyata rahat bir ürün arıyorsanız ??????,1,uzun süredir kullanıyoruz herhangi bir sorun çıkmadı rengi istediğimiz beyaz geldi uygun fiyata rahat bir ürün arıyorsanız,1,True
resimdeki gibi geliyor. bu fiyata gayet güzel bir ürün,1,resimdeki geliyor fiyata gayet güzel bir ürün,1,True
kargoda onca paketlemesine ragmen oturdugu yerin kumasin da yirtik vardi. oyle buyuk ebat degil maksimum 10 yaşına kadar kullanılır. uzun sureli oturumlar icin rahat degil. bu fiyata gore zaten bu performansı beklenirmis.,0,kargoda onca paketlemesine ragmen oturdugu yerin kumasin yirtik vardi oyle buyuk ebat degil maksimum 10 yaşına kadar kullanılır uzun sureli oturumlar icin rahat degil fiyata gore zaten performansı beklenirmis,0,True
bence fiyatına göre gayet iyi normal teşekkür ederim bi kaç gün önce beyazını aldim kızım çok rahat oturup derslerini yapabiliyor. ?? kolay gelsin,1,bence fiyatına göre gayet iyi normal teşekkür ederim bi kaç gün önce beyazını aldim kızım rahat oturup derslerini yapabiliyor kolay gelsin,1,True
indirimli aldım güzel urun,1,indirimli aldım güzel urun,1,True
fiyat uygun ürün göründüğü gibi geldi,1,fiyat uygun ürün göründüğü geldi,1,True
geçerken fiyatına göre çok başarılı,1,geçerken fiyatına göre başarılı,1,True
"ürünü bir bayan olarak cok kolay monteledim. ancak yukari-asagi ceken demir parcanin ucu bize ulasmadigi icin sivri uç açıkta kaldi. satici icin küçük,bizim içinse büyük sorun,hele evde bebek varken :(",0,ürünü bir bayan olarak cok kolay monteledim ancak yukariasagi ceken demir parcanin ucu bize ulasmadigi icin sivri uç açıkta kaldi satici icin küçükbizim içinse büyük sorunhele evde bebek varken,0,True
çok güzel küçük de değil kargo getirmedi biz gidip aldık o bakımdan kötüydü ama ürün güzel kurulumu kolay,0,güzel küçük değil kargo getirmedi gidip aldık bakımdan kötüydü ürün güzel kurulumu kolay,1,False
Ürün gerçekten çok güzel ama biraz küçük yani en fazla 13 yaşımda bir çocuk oturabilir ama kalitesi mükemmel tavsiye ediyorum,0,ürün gerçekten güzel biraz küçük fazla 13 yaşımda bir çocuk oturabilir kalitesi mükemmel tavsiye ediyorum,1,False
biraz kucuk ama bilerek almstm zaten oglum icin. kalitesi iyi,0,biraz kucuk bilerek almstm zaten oglum icin kalitesi iyi,1,False
ihtiyacımıza uygun. hızlı kargo. güzel paketleme. gorselin aynısı,0,ihtiyacımıza uygun hızlı kargo güzel paketleme gorselin aynısı,1,False
oglumun odasına aldık ve gayet guzel 18 yaş altı için uygun çok büyük degil.saglam ve kurulumu kolay.,1,oglumun odasına aldık gayet guzel 18 yaş altı uygun büyük degilsaglam kurulumu kolay,1,True
ÇOK GÜZEL ALDIĞIMA DEĞDİ FİYAT OLARAK DA GÜZEL,1,güzel aldiğima değdi fiyat olarak güzel,1,True
Fiyatta kendisinde çok güzel,1,fiyatta kendisinde güzel,1,True
Oturumu hiç rahat değil tavsiye etmem,0,oturumu rahat değil tavsiye etmem,0,True
ürünü sipariş ettiğimizde daha uygun fiyatta idi. gerçekten kalitesi ve görseli göründüğü gibiydi kızım çok istiyordu beni bu dertten kurtardınız teşekkürler. tek sıkıntı çok geç gönderildi buna dikkat edilirse daha memnun kalınır,1,ürünü sipariş ettiğimizde uygun fiyatta idi gerçekten kalitesi görseli göründüğü gibiydi kızım istiyordu beni dertten kurtardınız teşekkürler tek sıkıntı geç gönderildi buna dikkat edilirse memnun kalınır,1,True
Ürün rahat değil ama parasına göre normal aşağı yukarı indirenedik kulpu eksik geldi,0,ürün rahat değil parasına göre normal aşağı yukarı indirenedik kulpu eksik geldi,0,True
Ürün fiyatına göre kaliteli değil. Monte etmek için şema vs gönderilmemişti.,0,ürün fiyatına göre kaliteli değil monte etmek şema vs gönderilmemişti,0,True
Çok güzel kurulum çok kolay kızım için aldım hemen geldi bayıldık,1,güzel kurulum kolay kızım aldım hemen geldi bayıldık,1,True
"kurulumu gayet kolay ilkokula giden oğlum için aldim, çok konforlu",1,kurulumu gayet kolay ilkokula giden oğlum aldim konforlu,1,True
"Ürünün kumaşı deri ,kolay temizlenebilir.Kurulumu kolay, kullanışlı.??",1,ürünün kumaşı deri kolay temizlenebilirkurulumu kolay kullanışlı,1,True
"Ben yegenime aldim, 8 yas cocugu icin cok uygun.",1,ben yegenime aldim 8 yas cocugu icin cok uygun,1,True
74 kiloyu bile çekti.çok büyük değil ama cocuk için daha uygun olsada büyükler bile sevebilir,1,74 kiloyu bile çektiçok büyük değil cocuk uygun olsada büyükler bile sevebilir,0,False
İkizlerim 6 yaşında onlar için ideal Ama yetişkinler için rahat değil bel yaslanma kısmı çok sert beni kavramıyor ve kıvrılmıyor bir de oturduğunuz yere mutlaka bir bez koymalısınız çünkü terletiyor onun dışında diğer fiyatlara göre hem ideal hem de kullanışlı çocuklar için,0,ikizlerim 6 yaşında onlar ideal yetişkinler rahat değil bel yaslanma kısmı sert beni kavramıyor kıvrılmıyor bir oturduğunuz yere mutlaka bir bez koymalısınız terletiyor onun dışında diğer fiyatlara göre ideal kullanışlı çocuklar,1,False
"Ürünü beğendim, Resimdeki gibi birebir aynısı geldi, teslimat süresi daha kısa zamanda olur sanmıştım ancak pandemi dönemi için çok da geç değildi. Kurulumu kolay ve pratik 10 dakikada kuruldu. Tam çocuk çalışma masasına göre ,büyükler için uygun değil ,zaten ben çocuğum için aldım. Beklentimi karşıladı.",1,ürünü beğendim resimdeki birebir aynısı geldi teslimat süresi kısa zamanda olur sanmıştım ancak pandemi dönemi geç değildi kurulumu kolay pratik 10 dakikada kuruldu tam çocuk çalışma masasına göre büyükler uygun değil zaten ben çocuğum aldım beklentimi karşıladı,1,True
Tam bir çocuk çalışma sandalyesi büyük olmadığını bilerek aldık 5 yaşındaki oğlum çok sevdi??,1,tam bir çocuk çalışma sandalyesi büyük olmadığını bilerek aldık 5 yaşındaki oğlum sevdi,1,True
elime ulaştığında böyle beklemiyordum çocuklarınız için gönül rahatlığıyla alabilirsiniz,1,elime ulaştığında böyle beklemiyordum çocuklarınız gönül rahatlığıyla alabilirsiniz,1,True
Hem fiyatı uygun hemde inanılmaz güzel bir sandalye çok rahat kullanışlı,1,fiyatı uygun hemde inanılmaz güzel bir sandalye rahat kullanışlı,1,True
Çocuklar için uygun bence,1,çocuklar uygun bence,1,True
Cok iyi göründüğü gibi geldi,1,cok iyi göründüğü geldi,1,True
fiyatı uygun,1,fiyatı uygun,1,True
Kurulumu çok kolay.Rahat.Güzel bir ürün teşekkürler.,1,kurulumu kolayrahatgüzel bir ürün teşekkürler,1,True
fiyatına göre gayet iyi kızım için aldım uzun boylu yetişkin için biraz küçük ama biz begendik.,1,fiyatına göre gayet iyi kızım aldım uzun boylu yetişkin biraz küçük begendik,1,True
Fiyat performans açısından iyi kurulum paketleme iyi,1,fiyat performans açısından iyi kurulum paketleme iyi,1,True
ürün resimdekinin aynısı eksiksiz geldi bence çocuklar için ideal bir sandalye teşekkürler,1,ürün resimdekinin aynısı eksiksiz geldi bence çocuklar ideal bir sandalye teşekkürler,1,True
Uygun fiyat şık görünüm montajı kolay kargo özenliydi. kızıma aldım..Memnunuz rahat.,1,uygun fiyat şık görünüm montajı kolay kargo özenliydi kızıma aldımmemnunuz rahat,1,True
"Ürün görseldeki gibi geldi ,paketleme güzeldi,kurulumu da gayet kolay oldu tavsiye ederim",1,ürün görseldeki geldi paketleme güzeldikurulumu gayet kolay oldu tavsiye ederim,1,True
Ürün aynı göründüğü gibi kurulumunda çok kolay hemde çok rahat Bence harika bir ürün ??,1,ürün aynı göründüğü kurulumunda kolay hemde rahat bence harika bir ürün,1,True
Çok memnun kaldım kolay kuruldu ????,1,memnun kaldım kolay kuruldu,1,True
teşekkürler gerçekten güzel iyi bi urun,1,teşekkürler gerçekten güzel iyi bi urun,1,True
güzel oğlum memnun kaldı,1,güzel oğlum memnun kaldı,1,True
cok rahat rengi falb sararmiyor,1,cok rahat rengi falb sararmiyor,1,True
fiyatta uygun kalitede güzel beklentimi karşıladı kurulumuda çok kolay oldu ben çok beğendim tavsiye ederim,1,fiyatta uygun kalitede güzel beklentimi karşıladı kurulumuda kolay oldu ben beğendim tavsiye ederim,1,True
